lon,lat,ppi
27.799539,43.559276,0.000000
27.773708,43.514523,0.086836
27.771810,43.569461,0.119992
27.861062,43.558379,0.075470
27.717397,43.450419,0.312724
27.727322,43.566872,0.051954
27.884564,43.565313,0.000000
27.849965,43.464728,0.000000
27.765481,43.529255,0.712088
27.819099,43.549953,1.757031
27.705546,43.579074,0.117525
27.800035,43.587456,0.266066
27.833290,43.474756,0.059094
27.755326,43.498888,0.655091
27.845094,43.567502,0.492803
27.814432,43.451480,0.535069
27.881142,43.593882,0.000000
27.736658,43.570864,0.000000
27.849377,43.475718,0.001595
27.755452,43.568490,0.000000
27.823442,43.486983,0.000000
27.838124,43.582861,0.000000
27.861644,43.555764,0.076574
27.812214,43.525871,0.000000
27.729253,43.521658,0.000000
27.768642,43.553996,0.230405
27.855427,43.571387,0.295841
27.868610,43.514922,0.183436
27.849109,43.580078,1.052379
27.750324,43.494509,0.612003
27.777736,43.462091,0.000000
27.900998,43.529708,0.032300
27.811439,43.449521,0.357491
27.762141,43.598159,0.069067
27.875311,43.559081,0.000000
27.896429,43.505343,0.000000
27.894465,43.514722,0.162579
27.851169,43.480026,0.000000
27.809872,43.461778,1.074767
27.834937,43.495543,0.194278
27.724400,43.571032,0.000000
27.828172,43.507388,0.000000
27.842850,43.513134,0.000000
27.874073,43.490569,0.087733
27.876907,43.472719,0.000000
27.748563,43.532159,0.000000
27.881238,43.472955,0.000000
27.762895,43.589150,0.671224
27.818119,43.569049,0.000000
27.834168,43.493568,0.000000
27.754387,43.542745,0.000000
27.729826,43.466458,0.000000
27.792651,43.591109,0.000000
27.798374,43.527319,0.241045
27.723390,43.465869,0.497601
27.707993,43.576447,0.200082
27.756440,43.489066,0.691794
27.837403,43.486071,0.042550
27.741127,43.490877,0.571151
27.800199,43.515601,0.016648
27.709964,43.575535,0.436185
27.806450,43.576155,0.113006
27.789799,43.515043,0.318474
27.732652,43.465090,0.000000
27.753387,43.551846,0.581086
27.778461,43.508908,0.000000
27.715698,43.474021,0.000000
27.860887,43.459064,0.034034
27.882988,43.491311,0.000000
27.722803,43.458129,0.300061
27.843559,43.466306,0.089946
27.777140,43.454171,0.071039
27.877340,43.528271,0.000000
27.875407,43.599959,0.000000
27.745278,43.486528,0.697004
27.854490,43.592734,0.468662
27.818450,43.593448,0.078604
27.868312,43.571830,0.000000
27.898078,43.466341,0.287451
27.825098,43.581335,0.332348
27.870540,43.494287,0.000000
27.809620,43.498427,0.000000
27.760675,43.540723,0.000000
27.699020,43.496635,0.204456
27.725159,43.520784,0.082692
27.832720,43.595146,0.000000
27.893303,43.494652,0.027792
27.730733,43.459699,0.761704
27.832839,43.504923,0.033038
27.726059,43.451265,0.163321
27.859210,43.506439,0.000000
27.804138,43.560685,0.179430
27.744396,43.555597,0.450008
27.725289,43.562563,0.000000
27.786785,43.568729,0.000000
27.895602,43.599893,0.630807
27.775269,43.568808,0.067888
27.765160,43.543034,0.000000
27.715747,43.530568,0.065864
27.764745,43.451373,0.000000
27.820624,43.507263,0.000000
27.711231,43.546443,0.014922
27.746403,43.567739,0.000000
27.775199,43.534322,0.000000
27.778825,43.469827,0.126401
27.875992,43.571952,0.000000
27.874516,43.495518,0.010873
27.813589,43.462381,0.044087
27.783300,43.586491,0.263036
27.802326,43.480019,0.000000
27.807830,43.503302,0.000000
27.894267,43.501308,0.000000
27.886483,43.561066,0.084556
27.890510,43.523397,0.044934
